Oxygen Pressure,Growth Temperature,Laser Energy Density,Post-growth Dwell Time,Annealing Pressure,Annealing Rate,Substrate Type,Crystallinity,Roughness,Tc,Magnetic Moment,Description,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,LSA (LaSrAlTiO3),High,1.2 nm,150 K,1.2 μB,Strong spin-orbit coupling observed.,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (001),High,1.2 nm,150 K,1.5 μB,Experienced strong anti-ferromagnetic instability; firm stability in Pnma phase.,
100 mTorr,700 °C,2.4 J/cm²,-,-,-,(LaAlO3)0.3(Sr2TaAlO)0.7 (001),-,-,150 K,-,High-quality coherent growth; relevant for Berry curvature.,
100 Pa,700 °C,2.4 J/cm²,300 s,-,-,SrTiO3 (001),-,-,-,-,-,
100 Pa,700 °C,2.4 J/cm²,300 s,-,-,DyScO3 (110),-,-,-,-,-,
100 Pa,700 °C,2.4 J/cm²,300 s,-,-,GdScO3 (110),-,-,-,-,-,
100 mTorr,700 °C,1 J/cm²,-,-,-,SrTiO3 (001),High,0.8 nm,145 K,1.5 μB,Epitaxial SrRuO3 films show robust ferromagnetic order with enhanced Tc and magnetic moment.,
-,700 °C,~1 J/cm²,-,-,-,SrTiO3 (001),-,-,145 K,1.5 μB,Enhanced structural anistropy arises from Ba-substitution leading to an increase in magnetic moment.,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (STO) (001),-,1.2 nm,150 K,1.5 μB,High-quality SrRuO3 films with controlled thickness.,
10 Pa,700 °C,1.2 J/cm²,300 s,-,-,SrTiO3 (STO) (001),Epitaxial,1.2 nm,150 K,1.5 μB,High-quality Sr2IrO4 phase achieved.,
10 Torr,700 °C,1.2 J/cm²,-,-,-,SrTiO3 (STO),Pure phase,-,-,-,Monitored in-situ optical properties.,
0.02 mbar,400 °C,2.2 J/cm²,-,0.02 mbar,-,P-type doped (100) Si,Epitaxial,-,-,-,Achieved good crystalline quality of LSMO growth on SrRuO3 buffer layer.,
0.02 mbar,550 °C,2.2 J/cm²,-,-,-,P-type doped (100) Si,Epitaxial,-,-,-,"Crystalline LSMO phases observed; however, below 250 °C formation of crystalline phases ceases.",
0.1 mbar,650 °C,2.2 J/cm²,-,0.1 mbar,-,P-type doped (100) Si,Crystalline,-,250 °C,0.1 μB,"Demonstrated ferromagnetic behavior in films, indicating improved growth kinetics and intermixing of species for phase formation.",
0.1 mbar,800 °C,2.5 J/cm²,-,0.1 mbar,-,YSZ/CeO2/SrRuO3 on Si,Single phase,-,200 °C,-,Low-temperature growth down to 250 °C with clear ferromagnetic behavior due to well-aligned crystal orientations and improved surface diffusion.,
10 Pa,250 °C,2 J/cm²,-,100 Pa,5 °C/min,"YSZ/CeO2 on 4"" Si wafers",Crystalline,1.2 nm,150 K,1.5 μB,LSMO films retained good crystallinity even at lower temperatures; demonstrated impoving surface diffusion with SrRuO3 realized as a buffer layer.,
30 Pa,700 °C,1.5 J/cm²,-,-,-,SrTiO3 (single-crystal),High,-,150 K,-,Enhanced ferromagnetic ordering noted for thin films.,
100 Pa,700 °C,1.5 J/cm²,-,-,-,SrTiO3 (single-crystal),High,-,160 K,2.0 μB,"Enhanced magnetic moment observed, confirming the effect of atomic structure modifications on the properties.",
30 Pa,700 °C,1.5 J/cm²,-,100 Pa,5 °C/min,SrTiO3 (single-crystal),High,1.3 nm,150 K,-,Films exhibited significant resistivity characteristics suggesting ferromagnetic behavior.,
100 Pa,700 °C,2.0 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (single-crystal),High,1.7 nm,150 K,2.5 μB,Improvements in electric conductivity and thermoelectric properties were observed in polish variation.,
10 Pa,700 °C,2.0 J/cm²,-,-,-,SrTiO3 (single-crystal),High,-,155 K,-,Notable changes in Tc; suggesting variations in structural properties across the films.,
-,700 °C,1.5-2.0 J/cm²,-,-,-,Polycrystalline SrRuO3,Lower compared to single-crystal,5.2 nm,160 K,1.5 μB,"Polycrystalline films showed reduced structural clarity, affecting thermal efficiency.",
30 Pa,700 °C,2.0 J/cm²,300 s,100 Pa,-,SrTiO3 (single-crystal),High,1.0 nm,155 K,1.2 μB,"Coalescence improved crystalline quality, leading to better electrical and thermal transport properties.",
-,700 °C,1.5 J/cm²,-,-,-,Polycrystalline SrRuO3,-,-,148 K,1.3 μB,Observations indicated less effective magnetic ordering compared to epitaxial growth conditions.,
100 Pa,750 °C,1.5 J/cm²,-,-,-,(001) STO,-,-,-,-,Thin films synthesized with controlled atomic layers.,
100 Pa,700 °C,-,300 s,-,-,-,-,1.2 nm,150 K,-,High crystallinity and low roughness observed.,
300 Pa,700 °C,2 J/cm²,-,-,-,(001) STO,-,-,-,-,-,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,(001)SrTiO3,-,1.2 nm,150 K,1.5 μB,Highly tunable magnetic anisotropy from in-plane to out-of-plane.,
0.1 mbar,700 °C,2.0 J/cm²,-,-,-,(110)SrTiO3,-,-,-,-,Exhibits robust PMA properties with well-defined orientation dependence.,
0.1 mbar,700 °C,2.0 J/cm²,-,-,-,(111)SrTiO3,-,-,-,-,Shows distinct magnetic characteristics demonstrating PMA.,
2×10⁻³ mbar,700 °C,-,-,-,-,-,Highly crystalline,1.2 nm,-,-,Displays excellent crystallinity and magnetic stability.,
100 mTorr,675 °C,2 J/cm²,Not specified,-,-,(001) or (111) ST,High,-,-,-,High-quality films were obtained via PLD on substrates.,
10 Pa,700 °C,2 J/cm²,300 s,-,5 °C/min,SrTiO3 (001),-,1.2 nm,~160 K,1.5 μB,High-quality films with strong spin textures observed.,
100 mTorr,720 °C,-,-,-,-,BaTiO3/SrRuO3,-,-,-,-,Heterostructures grown; different layers reported.,
100 mTorr,600 °C,-,-,-,-,(001) SrTiO3,Excellent,-,150 K,1.5 μB,"SrRuO3 films exhibited ferromagnetism with proper crystallinity, enhancing magnetic properties due to favorable exchange bias effects.",
100 mTorr,850 °C,-,-,-,-,(001) SrTiO3,Excellent,-,350 K,-,Large variations in Tc noted between SrRuO3 and LSMO layers; enhanced magnetization switching characteristics when coupled with LSMO layers.,
10 Pa,700 °C,2 J/cm²,300 s,-,5 °C/min,-,-,1.2 nm,110 K,-,Deposition technique involved high-energy electron diffraction confirming atomic layer control and high-quality films.,
10 Pa,600 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (001),High quality,1.2 nm,150 K,1.5 μB,High-quality epitaxial growth with single-phase films.,
0.014 mbar,650 °C,-,-,-,-,SrTiO3 (100) single crystals,-,-,160 K,-,30 layers of LSMO/SRO grown. Exhibits ferromagnetic order below Tc.,
10 Pa,700 °C,3 J/cm²,-,600 mbar O2,-,SrTiO3 (001),Good,-,156 K,1.5 μB,Strong anti-ferromagnetic coupling observed.,
-,700 °C,3 J/cm²,30 min,600 mbar,-,PMN-PT (001),-,-,-,-,Enhanced magnetic behavior resulting from strain control.,
-,700 °C,3 J/cm²,45 min,600 mbar,-,PMN-PT (001),-,-,-,-,"Structural and magnetic properties characterized, indicating strong coupling effects.",
15 Pa,680 °C,-,-,-,-,SrTiO3 (100),High,-,150 K,-,High-quality SrRuO3 and CaRuO3 bilayers were synthesized.,
30 Pa,700 °C,-,-,-,-,SrTiO3 (100),High,-,160 K,-,Bilayers exhibit a single Curie-like temperature near the bulk Tc of SrRuO3.,
10 Pa,680 °C,-,-,-,-,SrTiO3 (001),-,-,~160 K,~0.36 μB,"Helium ion irradiation introduces significant defects, enhancing resistivity and reducing magnetization.",
0.1 mbar,680 °C,1 × 10^15 He/cm²,-,-,-,SrTiO3 (001),-,-,~160 K,-,Growth of the films shows a strong magnetic phase transition influenced by ion irradiation.,
0.1 mbar,680 °C,2.5 × 10^15 He/cm²,-,-,-,SrTiO3 (001),-,-,~150 K,-,"As fluence increases, the films transition to a weak localization phase.",
0.1 mbar,680 °C,5 × 10^15 He/cm²,-,-,-,SrTiO3 (001),-,-,-,-,Significant disorder from defects results in competing magnetic phases.,
0.113 Torr,973 K,2 J/cm²,-,-,-,SrTiO3 (100),-,-,-,-,Films were grown with in-situ monitoring using RHEED; atomic force microscopy shows a smooth surface with uniform terraces.,
10 Pa,700 °C,2.1 J/cm²,-,-,-,DyScO3 (110),High,-,152 K,1.5 μB,Enhanced Tc due to octahedral tilt controlled by STO cap.,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,TiO2 (terminated),-,1.2 nm,131 K,1.39 μB,Localized control of ferromagnetic properties observed.,
10 Pa,700 °C,-,-,-,-,-,-,-,136 K,1.57 μB,Notable structural changes observed with STO capping layer.,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (001),High,1.2 nm,150 K,1.5 μB,"Epitaixial growth, good crystallinity, high Tc",
-,750 °C,2 J/cm²,600 s,200 Pa,5 °C/min,SrTiO3 (001),High,1.8 nm,125 K,1.8 μB,"Increased growth temperature, TC shifts",
-,600 °C,1 J/cm²,-,-,-,SrTiO3 (001),Moderate,2.0 nm,140 K,-,Reduced energy density leads to lower Tc,
-,500 °C,2.5 J/cm²,360 s,-,-,SrTiO3 (001),Low,3.0 nm,130 K,-,"Lower temperatures, poor crystallinity",
0.36 mbar,750 °C,1 J/cm²,2 h,1 bar,-,SrTiO3 (100),High,-,~163 K,-,"Single-layer SRO films were studied, exhibiting anomalous Hall Effect around Tc.",
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,N/STO (001),High,1.2 nm,150 K,1.5 μB,SrRuO3 films displayed high crystallinity and reduced roughness under these conditions.,
100 mTorr,700 °C,0.5 J/cm²,90 min,1 Torr,-,SrTiO3 (001),-,-,-,-,Films grown by pulsed laser deposition; in-situ monitoring used.,
5.1 x 10^-2 mbar,725 °C,1.8 J/cm²,-,0.3 mbar,-,LaAlO3 (001),High,-,-,-,Pulsed laser deposition used with BiFeO3 target.,
10 Pa,750 °C,3.6 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (001),-,1.5 nm,160 K,1.2 μB,Enhanced magnetic moment due to high spin state.,
10 Pa,750 °C,3.6 J/cm²,300 s,-,-,LSA (001),-,1.2 nm,150 K,3.3 μB,Enhanced magnetic moment compared to bulk.,
20 Pa,700 °C,5 J/cm²,-,-,-,SrTiO3 (STO),-,-,-,-,Thin film grown on STO bicrystal substrate.,
-,700 °C,5 J/cm²,-,-,-,SrTiO3 (STO),-,-,-,-,Confirmed epitaxial relationship with [001] direction.,
10 Pa,700 °C,2.1 J/cm²,-,-,-,SrTiO3 (001) single crystal,Coherently strained,1.2 nm,150 K,1.5 μB,"Exhibits tetragonal symmetry, single domain growth.",
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (001),High,1.2 nm,150 K,1.5 μB,Achieved decent conductivity and observed ferroelectric polarization in a superlattice structure.,
75 mTorr,680 °C,-,-,-,-,SrTiO3 (STO) single crystal,Epitaxial growth,-,-,-,Thin films ~60 nm grown via PLD using KrF excimer laser.,
100 Torr,700 °C,1.5 J/cm²,-,100 Torr,-,SrTiO3 (STO) (001),High,-,~150 K,~1.3 μB,Thin films showed high epitaxial growth and good crystalline quality.,
100 mTorr,650 °C,300 mJ (SrRuO3) & 260 mJ (STO),~12 °C/min,-,-,SrTiO3 (001),-,-,128 K,-,"SrRuO3 thin films are synthesized via PLD, showing ferromagnetic properties and a Curie temperature of ~128 K. The films exhibit metallic characteristics, with significant Ti-Ru intermixing in the first SrRuO3 block, leading to a metallic behavior and reduced Ru content.",
100 mTorr,650 °C,300 mJ (SrRuO3) & 260 mJ (STO),-,-,5 °C/min,SrTiO3 (001),-,-,-,-,"Overall, stoichiometric SrRuO3 films show better magnetic behavior compared to non-stoichiometric ones. The prepared SrRuO3 samples on different substrates exhibit varying degrees of magnetic order and properties due to interfacial effects and sample thickness.",
0.08 mbar,680 °C,2.5 J/cm²,-,-,-,(100)-oriented STO,High-quality,-,160 K,1.4 μB,"Epitaxial SRO thin films were produced, demonstrating good magnetic properties.",
100 mTorr,700 °C,2 J/cm²,-,-,-,SrTiO3 (001),Polycrystalline,-,-,-,"Films grown using pulsed laser deposition, monitored in situ via RHEED.",
-,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,TiO2-terminated SrTiO3 (001),-,-,-,-,SRO films were deposited at this pressure using RHEED monitoring.,
-,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (001),-,1.2 nm,-,-,"Monitored in situ via RHEED, optimized for crystallinity.",
10 Pa,700 °C,2 J/cm²,-,-,-,SrTiO3 (001),High,-,-,-,Optimized conditions for reduced defects.,
100 Pa,680 °C,1.1 J/cm²,-,-,-,SrTiO3 (111),-,-,-,-,High-quality SrRuO3 films were grown.,
100 Pa,510 °C,-,300 s,10^-9 Torr,-,SrTiO3 (111),-,1.2 nm,150 K,-,Post-experimental cleanup involves high vacuum conditions to achieve a clean interface.,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,GdScO3 (single crystal),High,1.1 nm,150 K,1.5 μB,High-quality film with good electronic properties.,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (STO),-,1.2 nm,150 K,1.5 μB,High-quality epitaxial films with good properties.,
-,750 °C,1.4 J/cm²,-,1x10⁻⁶ mbar,-,-,-,-,-,-,Optimization of growth parameters for PLD.,
-,800 °C,1.6 J/cm²,-,1x10⁻⁶ mbar,-,Graphene-coated STO,-,-,-,-,Characterization of graphene transfer methods.,
10 Pa,480 °C,4 J/cm²,-,-,-,Textured Ni,Highly textured,-,-,-,"SRO films deposited using PLD with fundamental growth conditions outlined, showing good film continuity and quality.",
10 mTorr,780 °C,4 J/cm²,-,-,-,LNO/Ni,-,-,-,-,"LNO films acted as a buffer layer, enhancing overall film quality; shows advantages against air exposure.",
100 mTorr,1000 K,1.5 J/cm²,-,100 mTorr,20 °C/min,SrTiO3 (001),-,-,-,-,The films showed high quality. Transition from RuO2 to SrO observed at the interface.,
5 mTorr,1000 K,1.5 J/cm²,-,100 mTorr,20 °C/min,SrTiO3 (001),-,-,-,-,-,
150 mTorr,1000 K,1.5 J/cm²,-,100 mTorr,20 °C/min,SrTiO3 (001),-,-,-,-,"The growth exhibited strong interaction with the background atmosphere, resulting in different termination sequences at the interface.",
5 mTorr (O2/Ar),1000 K,1.5 J/cm²,-,150 mTorr,-,SrTiO3 (001),-,-,-,-,"Similar plume dynamics observed, ensuring uniform surface stability under reduced O2 conditions.",
10 Pa,600 °C,2 J/cm²,-,-,-,SrTiO3 (001),-,-,-,-,"Coherent growth, resulting in significant out-of-plane lattice constant.",
0.2 mTorr,Room Temperature,-,-,-,-,SrTiO3 (001),-,-,150 K,-,Observed room-temperature ferroelectricity;  resistance of ~ 1.06 Ohm·cm; large tetragonality indicates significant strain effects.,
1 mTorr,Room Temperature,-,-,-,-,SrTiO3 (001),-,-,-,-,-,
2×10^-4 Torr,600 °C,2 J/cm²,-,-,-,SrTiO3 (001),-,-,-,-,-,
2×10^-2 Torr,600 °C,-,-,-,-,SrTiO3 (001),-,-,-,-,-,
9 mTorr,680 °C,2.0 J/cm²,-,100 Pa,-,SrTiO3 (100),-,-,-,-,Epitaxial SrRuO3 buffer layer for BFO films.,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (111),-,1.2 nm,150 K,1.5 μB,Exhibits a slight modulation in composition.,
-,650 °C,2.0 J/cm²,-,100 mTorr,-,SrRuO3 buffer,High,-,-,-,Good ferroelectric and magnetic properties at RT.,
14-30 Pa,575-700 °C,2.5-5 J/cm²,-,-,-,SrTiO3 (100),-,-,-,-,Films were grown using pulsed laser deposition on SrRuO3 bottom electrode.,
-,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (100),-,1.2 nm,150 K,1.5 μB,Achieved desirable roughness and crystallinity for enhanced properties.,
0.16 - 0.27 mbar,800 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (001),-,1.2 nm,150 K,1.5 μB,"Smooth surfaces observed, epitaxial growth achieved.",
0.1 - 0.27 mbar,700 °C,2 J/cm²,-,-,-,NdGaO3 (110),-,-,-,-,-,
-,700 °C,2 J/cm²,300 s,-,-,DyScO3 (110),-,-,-,-,-,
-,700 °C,2 J/cm²,-,100 Pa,5 °C/min,LaSrAlTaO3 (110),-,-,-,-,-,
200 mTorr,750 °C,1.5 J/cm²,-,-,-,SrTiO3 (STO),-,-,~160 K,1.5 μB,Demonstrated metal-insulator transition with thicknesses reduced to 2 uc in superlattices.,
-,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,-,-,1.2 nm,150 K,-,Growth of SrRuO3 (SRO) films with significant ferromagnetic and electronic properties.,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (STO) (100),-,1.2 nm,150 K,1.5 μB,Rapid heating and good crystallinity observed,
100 mTorr,600 °C,2 J/cm²,-,50 mTorr,-,SrTiO3 (001),Highly Oriented,1.1 nm,150 K,8 μB,High-quality growth of SrRuO3 with good magnetic properties.,
100 mTorr,650 °C,2 J/cm²,300 s,50 mTorr,5 °C/min,SrTiO3 (001),-,3.8 nm,-,20 μB,Enhanced magnetic moment with structural phase changes observed.,
5.10E-2 mbar,775 °C,1.5 J/cm²,-,0.3 mbar,-,(111) STO,-,-,-,-,Growth on (111) oriented SrTiO3 substrates.,
0.3 mbar,710 °C,-,-,-,-,Conducting SrRuO3 buffer,-,-,-,-,SrRuO3 buffered growth for structural quality.,
10 Pa,780 °C,1.5 J/cm²,-,10^4 Pa,-,SrTiO3 (001),-,0.38 nm,125 K,-,"High-quality film grown, atomic-level flat surfaces.",
10 Pa,780 °C,1.0 J/cm²,-,10^4 Pa,-,SrTiO3 (001),-,-,-,-,High-quality film growth and analyzed under various conditions.,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,(001)-oriented STO,High,1.2 nm,150 K,1.5 μB,Films have good structural quality and superconducting transitions observed.,
-,130 K,14 mJ/cm²,-,-,-,-,-,-,-,-,Measurements done with time-domain Brillouin scattering.,
100 mTorr,600 °C,2.5 J/cm²,-,400 mTorr,-,TiO2-terminated SrTiO3 (001),-,-,-,-,Initial layer-by-layer growth followed by step-flow growth,
-,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,-,-,-,150 K,1.5 μB,High-quality growth; shows anomalies in Hall effect peaks,
0.1 mbar,800 °C,-,-,0.2 mbar,-,SrTiO3 (001),-,-,-,-,HZ films showed various crystallinities depending on the substrate used.,
0.1 mbar,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,Nb-doped SrTiO3 (001),-,-,-,-,Enhanced ferroelectric properties in HZ films observed.,
0.15 mbar,700 °C,-,-,0.15 mbar,-,LaNiO3,-,-,-,-,Features of different phases observed in films on various substrates.,
0.2 mbar,700 °C,-,-,0.2 mbar,-,La0.67Sr0.33MnO3,-,-,-,-,Films showed orthorhombic phase when using La0.67Sr0.33MnO3 substrates.,
0.15 mbar,725 °C,-,-,0.1 mbar,-,Ba0.95La0.05SnO3,-,-,-,-,-,
0.15 mbar,700 °C,-,-,0.15 mbar,-,"La1-xA-xMnO3 (x = 0.33, 0.5)",-,-,-,-,Study included films based on different compositions of manganites.,
0.1 mbar,700 °C,-,-,0.1 mbar,-,-,-,-,-,-,The presence of monodomain structures reduced.,
0.1 mbar,800 °C,-,-,0.2 mbar,-,-,-,-,-,-,Overall improvements in polarization observed under each listed condition.,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,LaAlO3 (001),High,1.2 nm,150 K,1.5 μB,Film exhibits good superconducting properties.,
0.2 mbar,850 °C,0.83 J/cm²,-,-,-,SrTiO3 (001),-,-,-,-,Stably yielded higher T_c at optimized pressure.,
0.2 mbar,700 °C,1.72 J/cm²,-,-,-,-,-,-,341 K,-,Optimized conditions yield high T_c.,
10 Pa,>850 °C,>1 J/cm²,-,100 Pa,10 °C/min,NdGaO3 (001),-,<2 nm,-,-,Low roughness indicates smooth film growth.,
0.1 mbar,900 °C,1.5 J/cm²,-,-,-,MgO (111),-,-,-,-,Enhanced properties suggested with increased density.,
-,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 [001]-oriented,-,1.2 nm,325 K,1.5 μB,High-quality thin films exhibiting significant magnetic properties.,
10 Pa,900 °C,-,-,-,-,SrTiO3 [001]-oriented,High,-,-,1.5 μB,Improved relative cooling power and modified interfacial properties.,
